durmin,dur5,duravg,dur95,durmax,dursum,durdev,weimin,wei5,weiavg,wei95,weimax,weisum,weidev,depmin,dep5,depavg,dep95,depmax,depsum,depdev,accmin,acc5,accavg,acc95,accmax,accsum,accdev,resmin,res5,resavg,res95,resmax,ressum,resdev,loadrmin,loadr5,loadravg,loadr95,loadrmax,loadrsum,loadrdev,weiSumPF,weiSumLF,weiSumSF,weiSumOI,weiSumRatioPF,weiSumRatioLF,weiSumRatioSF,weiSumRatioOI,transSumPF,transSumLF,transSumSF,transSumOI,illegal
3,5,11.0455,28,91,7533,7.944232947,1.9,14.54,15.350821,16.26,16.87,10469.26,1.388458258,0,0,0,0,0,0,0,1,1,1.37,3,3,37,0.597,0,0,1.253,8,13,203,2.566,0.063,0.485,0.5116891,0.542,0.562,348.972,0.046299391,10469.26,0,0,0,1,0,0,0,682,0,0,0,FALSE
4,7,23.6032,62,165,11660,19.30200189,4.83,12.34,14.635709,16.07,16.94,7230.04,1.503078825,0,0,0.013866,0,1.35,6.85,0.118647192,1,1,1.656,3,4,39,0.786,0,0,0.988,4,26,161,2.677,0.161,0.411,0.4878441,0.536,0.565,240.995,0.050124602,7189.95,40.09,0,0,0.994,0.006,0,0,487,7,0,0,FALSE
3,4,10.3556,29,39,932,7.4450746,4.83,13.65,15.048333,16.63,16.72,1354.35,1.495756405,0,0,0,0,0,0,0,1,1,1.265,2,2,16,0.441,0,0,10.529,37,51,358,13.591,0.161,0.455,0.5015667,0.554,0.557,45.141,0.049855803,1354.35,0,0,0,1,0,0,0,90,0,0,0,FALSE
2,3,8.3424,18,35,2461,5.720145885,2.85,4.26,9.134407,12.26,12.96,2694.65,2.773429909,0,0,0.195966,0.77,1.02,57.81,0.282615506,1,1,1.156,2,3,12,0.404,0,0,3.078,13,83,197,11.043,0.119,0.178,0.3806339,0.511,0.54,112.287,0.115559339,1992.01,321.36,381.28,0,0.739,0.119,0.141,0,183,71,41,0,TRUE
3,4,7.3054,12,33,1746,3.69479048,4.37,9.78,10.929749,12,12.47,2612.21,1.027350219,0,0,0.007029,0,0.6,1.68,0.055891062,1,1,1.034,1,2,14,0.181,0,0,6.288,41,103,371,18.703,0.182,0.408,0.4554268,0.5,0.52,108.847,0.042806095,2585.02,13.51,13.68,0,0.99,0.005,0.005,0,234,3,2,0,TRUE
2,6,9.7955,19,34,2586,4.683527931,2.49,3.98,9.48125,11.48,12.02,2503.05,2.364671551,0,0,0.09322,0.63,0.97,24.61,0.212276293,1,1,1.073,2,2,9,0.26,0,0,6.309,32,123,347,17.58,0.104,0.166,0.3950758,0.478,0.501,104.3,0.098516044,2256.42,167.99,78.64,0,0.901,0.067,0.031,0,215,40,9,0,TRUE
3,5,7.5314,11,29,6108,2.280012388,2.82,9.69,10.642429,11.67,12.4,8631.01,0.886452297,0,0,0.005586,0,0.85,4.53,0.061688098,1,1,1.005,1,2,3,0.071,0,0,0.853,4,21,168,2.314,0.118,0.404,0.443492,0.486,0.517,359.672,0.03692704,8606.43,24.58,0,0,0.997,0.003,0,0,804,7,0,0,TRUE
3,5,7.2674,11,27,7013,2.133138912,4.15,9.85,10.821927,11.73,12.63,10443.16,0.61256347,0,0,0.001161,0,0.63,1.12,0.025666254,1,1,1,1,1,2,0,0,0,0.594,3,7,136,1.221,0.173,0.41,0.4509544,0.489,0.526,435.171,0.025531815,10433.54,9.62,0,0,0.999,0.001,0,0,963,2,0,0,TRUE
5,6,8.7729,15,28,3167,2.786678819,3.22,10.01,10.804211,11.56,12.46,3900.32,0.971767958,0,0,0.009418,0,0.71,3.4,0.073713863,1,1,1.024,1,2,12,0.152,0,0,3.262,19,31,274,5.982,0.134,0.417,0.4502244,0.482,0.519,162.531,0.040505901,3875.71,24.61,0,0,0.994,0.006,0,0,355,6,0,0,TRUE
4,6,9.0896,15,28,2536,3.002245191,5.19,10.53,11.077348,11.66,12.47,3090.58,0.509184594,0,0,0,0,0,0,0,1,1,1.071,2,2,13,0.258,0,0,5.5,27,44,308,8.664,0.216,0.439,0.4616057,0.486,0.52,128.788,0.021221534,3090.58,0,0,0,1,0,0,0,279,0,0,0,TRUE
